COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
AL_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Falta de tecnología en la empresa,Numeric,"12,15",0.0 - 999999999999.999999999999999
AM_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Excesivos trámites burocráticos,Numeric,"12,15",0.0 - 999999999999.999999999999999
AN_9,Número de empresas según factores de afectación para su crecimiento por escala_No afectó_Restricciones a su actividad / cierres temporales,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_10,Número de empresas según el tipo de propietario_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_10,Número de empresas según el tipo de propietario_Una persona física,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_10,Número de empresas según el tipo de propietario_Una familia o un grupo de personas con algún parentesco,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_10,Número de empresas según el tipo de propietario_Una sociedad o asociación de personas sin parentesco,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_10,Número de empresas según el tipo de propietario_Otro,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_11,Número de empresas según persona que toma principalmente las decisiones_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_11,Número de empresas según persona que toma principalmente las decisiones_Director (a) general o gerente,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_11,Número de empresas según persona que toma principalmente las decisiones_Socio (a) mayoritario (a) o fundador (a),Numeric,"12,15",0.0 - 999999999999.999999999999999
F_11,Número de empresas según persona que toma principalmente las decisiones_Familiar de la persona propietaria o fundadora,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_11,Número de empresas según persona que toma principalmente las decisiones_Presidente (a) del consejo de administración,Numeric,"12,15",0.0 - 999999999999.999999999999999
H_11,Número de empresas según persona que toma principalmente las decisiones_Otro (a),Numeric,"12,15",0.0 - 999999999999.999999999999999
C_12,Número de empresas según rango de edad de quien toma principalmente las decisiones_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_12,Número de empresas según rango de edad de quien toma principalmente las decisiones_De 18 a 30 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_12,Número de empresas según rango de edad de quien toma principalmente las decisiones_De 31 a 40 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_12,Número de empresas según rango de edad de quien toma principalmente las decisiones_De 41 a 50 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_12,Número de empresas según rango de edad de quien toma principalmente las decisiones_De 51 a 65 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
H_12,Número de empresas según rango de edad de quien toma principalmente las decisiones_Más de 65 años,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_13,Número de empresas según sexo de la persona que toma principalmente las decisiones_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_13,Número de empresas según sexo de la persona que toma principalmente las decisiones_Hombre,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_13,Número de empresas según sexo de la persona que toma principalmente las decisiones_Mujer,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_14,Número de empresas según nivel de estudios de la persona que toma principalmente las decisiones_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_14,Número de empresas según nivel de estudios de la persona que toma principalmente las decisiones_Sin instrucción,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_14,"Número de empresas según nivel de estudios de la persona que toma principalmente las decisiones_Educación básica (preescolar, primaria, secundaria)",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_14,"Número de empresas según nivel de estudios de la persona que toma principalmente las decisiones_Educación media superior (bachillerato general, bachillerato bivalente, profesional técnico)",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_14,"Número de empresas según nivel de estudios de la persona que toma principalmente las decisiones_Educación superior (licenciatura, ingeniería, especialidad, posgrado)",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_15,Número de empresas según acciones que se llevan a cabo en la planeación_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_15,Número de empresas según acciones que se llevan a cabo en la planeación_Se llevó a cabo al menos una acción,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_15,Número de empresas según acciones que se llevan a cabo en la planeación_Se realizan pronósticos de ventas y rentabilidad de la empresa para los siguientes 12 meses,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_15,"Número de empresas según acciones que se llevan a cabo en la planeación_Se establecen metas a largo plazo (más de un año) para la empresa, se asignan responsables y existen esfuerzos activos para alcanzarlas",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_15,Número de empresas según acciones que se llevan a cabo en la planeación_Se tiene una estrategia para definir y administrar el nivel de endeudamiento de la empresa,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_No se tiene suficiente conocimiento para elaborar un plan financiero,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_La demanda de sus bienes o servicios es muy incierta e inestable,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_No se tiene suficiente personal para dedicarle tiempo a la elaboración y seguimiento de planes,Numeric,"12,15",0.0 - 999999999999.999999999999999
G_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_No se cuenta con personal especializado para manejar productos y servicios financieros,Numeric,"12,15",0.0 - 999999999999.999999999999999
H_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_No se respetan los objetivos establecidos en la planeación,Numeric,"12,15",0.0 - 999999999999.999999999999999
I_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_No se otorga la relevancia necesaria a este tema en la empresa,Numeric,"12,15",0.0 - 999999999999.999999999999999
J_16,Número de empresas según situaciones que dificultan la planeación financiera de la empresa_No se tienen dificultades,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_19,Porcentaje promedio de ingresos por la venta de productos o servicios al extranjero,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_20,"Número de empresas según resultado financiero después del pago de impuestos, así como su porcentaje promedio con relación a los ingresos totales_Total de empresas",Numeric,"12,15",0.0 - 999999999999.999999999999999
D_20,"Número de empresas según resultado financiero después del pago de impuestos, así como su porcentaje promedio con relación a los ingresos totales_Empresas con ganancias",Numeric,"12,15",0.0 - 999999999999.999999999999999
E_20,"Número de empresas según resultado financiero después del pago de impuestos, así como su porcentaje promedio con relación a los ingresos totales_Porcentaje promedio de ganancias respecto a los ingresos totales",Numeric,"12,15",0.0 - 999999999999.999999999999999
F_20,"Número de empresas según resultado financiero después del pago de impuestos, así como su porcentaje promedio con relación a los ingresos totales_Empresas con pérdidas",Numeric,"12,15",0.0 - 999999999999.999999999999999
G_20,"Número de empresas según resultado financiero después del pago de impuestos, así como su porcentaje promedio con relación a los ingresos totales_Porcentaje promedio de pérdidas respecto a los ingresos totales",Numeric,"12,15",0.0 - 999999999999.999999999999999
H_20,"Número de empresas según resultado financiero después del pago de impuestos, así como su porcentaje promedio con relación a los ingresos totales_Empresas sin pérdidas ni ganancias",Numeric,"12,15",0.0 - 999999999999.999999999999999
C_22,Porcentaje promedio de las deudas respecto a los activos totales e ingresos al 31 de diciembre_Porcentaje promedio del total de deudas respecto a los activos totales,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_22,Porcentaje promedio de las deudas respecto a los activos totales e ingresos al 31 de diciembre_Porcentaje promedio del total de deudas respecto a los ingresos totales,Numeric,"12,15",0.0 - 999999999999.999999999999999
C_23,Número de empresas que conocen o han escuchado hablar sobre los diferentes tipos de instituciones financieras_Total de empresas,Numeric,"12,15",0.0 - 999999999999.999999999999999
D_23,Número de empresas que conocen o han escuchado hablar sobre los diferentes tipos de instituciones financieras_Banca comercial ,Numeric,"12,15",0.0 - 999999999999.999999999999999
E_23,Número de empresas que conocen o han escuchado hablar sobre los diferentes tipos de instituciones financieras_Banca de desarrollo,Numeric,"12,15",0.0 - 999999999999.999999999999999
F_23,Número de empresas que conocen o han escuchado hablar sobre los diferentes tipos de instituciones financieras_Sociedad Financiera de Objeto Múltiple (SOFOM),Numeric,"12,15",0.0 - 999999999999.999999999999999
G_23,Número de empresas que conocen o han escuchado hablar sobre los diferentes tipos de instituciones financieras_Sociedad Cooperativa de Ahorro y Préstamo (SOCAP),Numeric,"12,15",0.0 - 999999999999.999999999999999
H_23,Número de empresas que conocen o han escuchado hablar sobre los diferentes tipos de instituciones financieras_Unión de Crédito,Numeric,"12,15",0.0 - 999999999999.999999999999999
